happy,gdp,soci.s,hlexp.b,freedom,generosity,p.corruption,p.affect,n.affect
3.5946666666666665,7.650833333333333,0.5084166666666667,52.266666666666666,0.5181666666666667,0.07008333333333333,0.8433333333333334,0.5486666666666666,0.3265
5.019384615384616,9.384384615384615,0.7162307692307692,67.54615384615384,0.662923076923077,-0.08269230769230769,0.8693846153846154,0.6538461538461539,0.29923076923076924
5.1918,9.3294,0.8116,65.43599999999999,0.5044,-0.13219999999999998,0.7056,0.5944,0.2564
4.42025,8.99,0.73825,53.55,0.45625,-0.08825000000000001,0.86675,0.6135,0.35125
6.310133333333333,10.0338,0.9044,67.9,0.7682,-0.15986666666666666,0.8420666666666666,0.8334666666666667,0.28400000000000003
4.513571428571429,9.270357142857144,0.7185714285714285,65.74285714285715,0.5637142857142857,-0.19964285714285715,0.8465,0.5502142857142858,0.43407142857142855
7.242230769230769,10.886846153846154,0.9295384615384615,72.10307692307693,0.9061538461538462,0.13046153846153846,0.5702307692307692,0.7880769230769231,0.17815384615384616
4.941,9.519571428571428,0.7705714285714286,63.94285714285714,0.6620714285714285,-0.16964285714285715,0.6983571428571429,0.573,0.23064285714285715
5.487333333333333,10.703666666666667,0.8963333333333333,66.27333333333333,0.876,-0.004999999999999999,0.6013333333333333,0.6643333333333333,0.453
4.762928571428572,8.126071428571429,0.6092142857142857,62.01571428571428,0.7519285714285714,-0.028142857142857143,0.7394285714285714,0.6215,0.27014285714285713
5.579384615384615,9.766461538461538,0.9069230769230769,63.90769230769231,0.6636153846153846,-0.165,0.6692307692307693,0.5635384615384615,0.21576923076923077
6.959923076923077,10.802846153846154,0.919,71.33076923076923,0.8480769230769231,-0.026846153846153846,0.6207692307692307,0.7838461538461539,0.24
6.2035,8.8875,0.8145,61.91,0.7895,0.0275,0.7755000000000001,0.757,0.26649999999999996
4.047916666666667,7.985916666666667,0.4771666666666667,52.93333333333333,0.7413333333333333,-0.058583333333333334,0.7844166666666667,0.6168333333333333,0.33766666666666667
5.196666666666666,9.169666666666666,0.849,59.9,0.8246666666666667,0.29933333333333334,0.6953333333333334,0.8160000000000001,0.2843333333333333
5.7334,8.8976,0.8063333333333333,61.873333333333335,0.8266666666666667,-0.05146666666666667,0.8206666666666667,0.7676666666666667,0.39353333333333335
5.190769230769231,9.430769230769231,0.7830769230769231,67.10153846153847,0.4976153846153846,0.04530769230769231,0.9441538461538461,0.5856153846153846,0.31053846153846154
3.9963333333333333,9.67875,0.8261666666666667,54.998333333333335,0.82125,-0.19366666666666665,0.782,0.71025,0.23041666666666666
6.616615384615384,9.590307692307693,0.8956153846153846,65.38,0.7848461538461539,-0.07753846153846154,0.7287692307692307,0.783,0.30130769230769233
4.574083333333333,9.879583333333333,0.8876666666666666,66.23333333333333,0.6654166666666667,-0.14508333333333334,0.942,0.6154166666666667,0.22258333333333333
4.168230769230769,7.527615384615385,0.7392307692307692,51.012307692307694,0.6526153846153846,-0.033923076923076924,0.7623846153846153,0.6176923076923077,0.298
3.5482,6.7224,0.4178,50.916,0.4508,-0.0366,0.7324,0.6184000000000001,0.2442
4.242916666666667,8.103083333333334,0.7102499999999999,59.80833333333334,0.9459166666666666,0.17116666666666666,0.8538333333333333,0.8063333333333333,0.376
4.622333333333334,8.101066666666666,0.7146,49.78,0.7342,-0.012733333333333333,0.8788,0.6270666666666667,0.3036
3.515,6.961,0.4024,43.356,0.6804,0.027,0.842,0.5616,0.3914
4.045142857142857,7.420214285714286,0.667,45.91428571428572,0.4995,0.008428571428571428,0.8705,0.567,0.3469285714285714
6.3566666666666665,10.000466666666666,0.8491333333333333,69.33333333333333,0.7282666666666667,0.09033333333333333,0.7708,0.8170666666666667,0.30946666666666667
6.2485333333333335,9.469333333333333,0.8874,66.50666666666666,0.8144666666666667,-0.08046666666666667,0.8477333333333333,0.8248666666666666,0.29613333333333336
3.944,7.9911666666666665,0.6739999999999999,55.68666666666667,0.5281666666666667,-0.017,0.753,0.6938333333333333,0.23383333333333334
4.537444444444445,8.181222222222223,0.6425555555555555,56.34444444444444,0.745,-0.09488888888888888,0.7851111111111111,0.6042222222222222,0.3446666666666667
